sampleID	source	group
S-523_FDME192071043-1a	Rumen	Stomachs
S-64_FDME192071033-1a	Rumen	Stomachs
S-75_FDME192071041-1a	Rumen	Stomachs
S-97_FDME192071047-1a	Rumen	Stomachs
GFW1	Reticulum	Stomachs
NW10	Reticulum	Stomachs
NW12	Reticulum	Stomachs
NW13	Reticulum	Stomachs
NW15	Reticulum	Stomachs
NW16	Reticulum	Stomachs
NW19	Reticulum	Stomachs
NW21	Reticulum	Stomachs
NW24	Reticulum	Stomachs
NW25	Reticulum	Stomachs
NW26	Reticulum	Stomachs
NW27	Reticulum	Stomachs
NW28	Reticulum	Stomachs
NW29	Reticulum	Stomachs
NW31	Reticulum	Stomachs
NW32	Reticulum	Stomachs
NW33	Reticulum	Stomachs
NW6	Reticulum	Stomachs
NW18	Reticulum	Stomachs
NW2	Reticulum	Stomachs
NW3	Reticulum	Stomachs
NW35	Reticulum	Stomachs
NW4	Reticulum	Stomachs
NW5	Reticulum	Stomachs
NW7	Reticulum	Stomachs
NW8	Reticulum	Stomachs
NW30	Reticulum	Stomachs
NW34	Reticulum	Stomachs
GFB1	Omasum	Stomachs
NB15	Omasum	Stomachs
NB16	Omasum	Stomachs
NB17	Omasum	Stomachs
NB18	Omasum	Stomachs
NB19	Omasum	Stomachs
NB21	Omasum	Stomachs
NB22	Omasum	Stomachs
NB25	Omasum	Stomachs
NB26	Omasum	Stomachs
NB27	Omasum	Stomachs
NB28	Omasum	Stomachs
NB29	Omasum	Stomachs
NB30	Omasum	Stomachs
NB31	Omasum	Stomachs
NB32	Omasum	Stomachs
NB33	Omasum	Stomachs
NB34	Omasum	Stomachs
NB10	Omasum	Stomachs
NB2	Omasum	Stomachs
NB24	Omasum	Stomachs
NB3	Omasum	Stomachs
NB35	Omasum	Stomachs
NB4	Omasum	Stomachs
NB6	Omasum	Stomachs
NB1	Omasum	Stomachs
NB13	Omasum	Stomachs
NB14	Omasum	Stomachs
NB5	Omasum	Stomachs
NB7	Omasum	Stomachs
NB8	Omasum	Stomachs
NB9	Omasum	Stomachs
NZ15	Abomasum	Stomachs
NZ18	Abomasum	Stomachs
NZ21	Abomasum	Stomachs
NZ25	Abomasum	Stomachs
NZ27	Abomasum	Stomachs
NZ10	Abomasum	Stomachs
NZ22	Abomasum	Stomachs
NZ33	Abomasum	Stomachs
NZ1	Abomasum	Stomachs
NZ11	Abomasum	Stomachs
NZ16	Abomasum	Stomachs
NZ2	Abomasum	Stomachs
NZ24	Abomasum	Stomachs
NZ26	Abomasum	Stomachs
NZ29	Abomasum	Stomachs
NZ3	Abomasum	Stomachs
NZ32	Abomasum	Stomachs
NZ35	Abomasum	Stomachs
NZ4	Abomasum	Stomachs
NZ5	Abomasum	Stomachs
NZ6	Abomasum	Stomachs
NZ7	Abomasum	Stomachs
NM15	Cecum	Intestines
NM17	Cecum	Intestines
NM18	Cecum	Intestines
NM19	Cecum	Intestines
NM27	Cecum	Intestines
NM33	Cecum	Intestines
NM14	Cecum	Intestines
NM16	Cecum	Intestines
NM2	Cecum	Intestines
NM21	Cecum	Intestines
NM22	Cecum	Intestines
NM24	Cecum	Intestines
NM25	Cecum	Intestines
NM26	Cecum	Intestines
NM28	Cecum	Intestines
NM29	Cecum	Intestines
NM3	Cecum	Intestines
NM30	Cecum	Intestines
NM31	Cecum	Intestines
NM32	Cecum	Intestines
NM34	Cecum	Intestines
NM35	Cecum	Intestines
NM4	Cecum	Intestines
NM5	Cecum	Intestines
NM6	Cecum	Intestines
NM8	Cecum	Intestines
NM9	Cecum	Intestines
NM1	Cecum	Intestines
NM10	Cecum	Intestines
NM12	Cecum	Intestines
NM7	Cecum	Intestines
NJ15	Colon	Intestines
NJ17	Colon	Intestines
NJ18	Colon	Intestines
NJ19	Colon	Intestines
NJ22	Colon	Intestines
NJ25	Colon	Intestines
NJ27	Colon	Intestines
NJ33	Colon	Intestines
NJ1	Colon	Intestines
NJ11	Colon	Intestines
NJ12	Colon	Intestines
NJ14	Colon	Intestines
NJ16	Colon	Intestines
NJ2	Colon	Intestines
NJ21	Colon	Intestines
NJ24	Colon	Intestines
NJ26	Colon	Intestines
NJ28	Colon	Intestines
NJ29	Colon	Intestines
NJ30	Colon	Intestines
NJ31	Colon	Intestines
NJ32	Colon	Intestines
NJ34	Colon	Intestines
NJ35	Colon	Intestines
NJ6	Colon	Intestines
NJ9	Colon	Intestines
NJ13	Colon	Intestines
NJ4	Colon	Intestines
NJ5	Colon	Intestines
NJ7	Colon	Intestines
NK15	Jejunum	Intestines
NK30	Jejunum	Intestines
NK33	Jejunum	Intestines
NK1	Jejunum	Intestines
NK13	Jejunum	Intestines
NK17	Jejunum	Intestines
NK21	Jejunum	Intestines
NK22	Jejunum	Intestines
NK26	Jejunum	Intestines
NK29	Jejunum	Intestines
NK3	Jejunum	Intestines
NK32	Jejunum	Intestines
NK34	Jejunum	Intestines
NK35	Jejunum	Intestines
NK4	Jejunum	Intestines
NK6	Jejunum	Intestines
NK10	Jejunum	Intestines
NK11	Jejunum	Intestines
NK12	Jejunum	Intestines
NK18	Jejunum	Intestines
NK2	Jejunum	Intestines
NK5	Jejunum	Intestines
NK7	Jejunum	Intestines
NK9	Jejunum	Intestines
